component,encoded_id,category,label,score_Utama,score_Madya,score_Muda,score_Pertama,level_eligibility,doctoral_excluded
PK,pk02,Penghargaan sebagai Periset Unggul,Penghargaan yang diberikan di bidang dan Teknologi oleh Lembaga Nasional,12.5,15,17.5,20,Utama/Madya/Muda/Pertama,
PK,pk03,Diseminasi,"Menjadi keynote speaker dalam seminar ilmiah, forum kebijakan, workshop, advokasi pemanfaatan pada tingkat internasional",7.5,10,12.5,15,Utama/Madya/Muda/Pertama,
PK,pk04,Diseminasi,"Menjadi keynote/invited speaker dalam seminar ilmiah, forum kebijakan, workshop , advokasi pemanfaatan pada tingkat nasional",5,7.5,10,12.5,Utama/Madya/Muda/Pertama,
PK,pk05,Diseminasi,Menjadi pemakalah oral pada pertemuan ilmiah tingkat internasional,5,7.5,10,12.5,Utama/Madya/Muda/Pertama,
PK,pk06,Diseminasi,Menjadi pemakalah oral pada pertemuan ilmiah tingkat nasional,2.5,5,7.5,10,Utama/Madya/Muda/Pertama,
PK,pk07,Diseminasi,Menjadi pemakalah poster pada pertemuan ilmiah tingkat internasional,2.5,5,7.5,10,Utama/Madya/Muda/Pertama,
PK,pk08,Diseminasi,Menjadi pemakalah poster pada pertemuan ilmiah tingkat nasional,,2.5,5,7.5,Madya/Muda/Pertama,
PK,pk09,Diseminasi,Menjadi pemateri/narasumber pada seminar/webinar ilmiah/ sharing session /FGD/kuliah tamu dan kegiatan sejenis di eksternal BRIN atau media radio/televisi,2,2,5,10,Utama/Madya/Muda/Pertama,
PK,pk10,Diseminasi,Menjadi pemateri pada seminar/webinar ilmiah/ sharing session /FGD dan kegiatan sejenis di internal BRIN atau BRIN TV,1,1,2.5,5,Utama/Madya/Muda/Pertama,
PK,pk11,Pembimbi ngan Sumber Daya Manusia,Menjadi pembimbing/ host peserta pasca doktoral,10,12.5,15,,Utama/Madya/Muda,
PK,pk12,Pembimbi ngan Sumber Daya Manusia,Mendatangkan nobel laureate atau setara,15,15,15,15,Utama/Madya/Muda/Pertama,
PK,pk13,Pembimbi ngan Sumber Daya Manusia,Menjadi host visiting researcher yang diselenggarakan oleh Deputi Bidang Sumber Daya Manusia Ilmu Pengetahuan dan Teknologi,7.5,10,12.5,15,Utama/Madya/Muda/Pertama,
PK,pk14,Pembimbi ngan Sumber Daya Manusia,Menjadi host visiting researcher yang diselenggarakan oleh unit kerja,2.5,2.5,2.5,2.5,Utama/Madya/Muda/Pertama,
PK,pk15,Pembimbi ngan Sumber Daya Manusia,Menjadi pembimbing peserta magang,2.5,5,7.5,10,Utama/Madya/Muda/Pertama,
PK,pk16,Pembimbi ngan Sumber Daya Manusia,Menjadi pembimbing dalam kegiatan coaching atau mentoring,2.5,2.5,5,5,Utama/Madya/Muda/Pertama,
PK,pk17,Pembimbi ngan Sumber Daya Manusia,Membimbing tugas akhir mahasiswa tingkat doktoral (S3),5,7.5,10,,Utama/Madya/Muda,
PK,pk18,Pembimbi ngan Sumber Daya Manusia,Membimbing tugas akhir mahasiswa tingkat magister (S2),2.5,5,7.5,10,Utama/Madya/Muda/Pertama,
PK,pk19,Pembimbi ngan Sumber Daya Manusia,Membimbing tugas akhir mahasiswa tingkat sarjana (S1),2.5,5,7.5,10,Utama/Madya/Muda/Pertama,
PK,pk20,Pembimbi ngan Sumber Daya Manusia,Menguji sidang Mahasiswa S1/S2/S3,2.5,2.5,2.5,2.5,Utama/Madya/Muda/Pertama,
PK,pk21,Pembimbi ngan Sumber Daya Manusia,Membimbing mahasiswa merdeka belajar kampus merdeka (MBKM),2,3,5,7,Utama/Madya/Muda/Pertama,
